[0]	"Russian"
[1]	"msg unable to create item effect ID = %d\n"
[2]	"Неизвестно"
[3]	"убил [%s] %d / %d!"
[4]	"Авто-атака [%s]"
[5]	"Авто-атака [%d, %d]"
[6]	"Следую за: [%s]"
[7]	"Моряк"
[8]	"Офицер"
[9]	"Капитан"
[10]	"Моряк"
[11]	"Рулевой"
[12]	"Персонаж"
[13]	"Пират"
[14]	"Повелитель 7 морей"
[15]	"С богатством и один в поле воин"
[16]	"msg read character data failed!"
[17]	"Failed to switch skill:%s, no such skill"
[18]	"Навык нельзя использовать в ходе смены навыка:%s,"
[19]	"Смена навыка: %s"
[20]	"set outlook of ship notice , incorrect  ship notice ID[%d]!"
[21]	"Outlook setting of ship message, wrong ship body ID [%d]!"
[22]	"Error message of ship fore ID [%d]!"
[23]	"ship error message mobility ID[%d]!"
[24]	"Просьба обновить .\\scripts\\txt\\CharacterAction.tx"
[25]	"Ошибка"
[26]	"msg Character creation failed (LoadCha), TypeID = %d, Name = %s\n"
[27]	"msg Character action failed to load (LoadPose), TypeID = %d, Name = %s\n"
[28]	"msg invalid action ID [%d]\n"
[29]	"Удалить эффект: %d, Указатель:%u\n"
[30]	" Synchronize skill status (decrease): ID:%d, Name:%s, Эффект ID:%u\n"
[31]	"Delete already got effect:  %d, Pointer:%u\n"
[32]	"Synchronize skill status (add): ID:%d, Name:%s, Эффект ID:%u\n"
[33]	"Создать эффект: ID:%d, Модель:%d, Указатель:%u\n"
[34]	"Соединение с сервером: %s\n"
[35]	"  Ланс - сын таинственной расы. Первоклассный пират, он разыскивается морским флотом. Отлично владеет мечом, луком и огнестрельным оружием. Обширные знания в морском деле позволяют ему стать Мореплавателем, Мечником или Охотником."
[36]	"   Карциз - наполовину демон. Но внешность обманчива, и за его свинцовыми мускулами кроется доброе сердце. Свою дьявольскую натуру Карциз готов проявить только, когда его товарищам угрожает смертельная опасность. По призванию Мечник."
[37]	"   Верный служитель культа Богини - Филлис. Она наводит страх на морской флот. Она всюду, где есть сокровища. Мастер своего дела, девушка королевских кровей. Она может стать Охотником, Мореплавателем или Знахаркой."
[38]	"   Ами - загадочное существо. Неподвластная времени, она никогда не вырастет и не состарится. Ами близка к Природе и способна общаться с окружающим миром. Это позволяет ей воскрешать умерших или дарит способность влиять на погоду. Ами -сверходаренная Знахарка или Мореплаватель."
[39]	"Аргент"
[40]	"Шайтан"
[41]	"Ледынь"
[42]	"Выбрать Аргент \nстартовым городом?"
[43]	"Выбрать Шайтан \nстартовым городом?"
[44]	"Выбрать  Ледынь \nстартовым городом?"
[45]	"msgui.clu interface<%s> cannot locate control <%s>"
[46]	"select.clu UI<%s> unable to find document<%s>"
[47]	"msg change hairstyle, hairstyle data incorrect:[%d]"
[48]	"msg when changing face style, hair style data is incorrect: [%d]"
[49]	"Пожалуйста, введите имя"
[50]	"Имя персонажа не может быть пустым"
[51]	"Пожалуйста, используйте цифры и разрешенные буквы!"
[52]	"Имя персонажа может состоять только из букв и цифр"
[53]	"Недопустимое имя персонажа. Введите имя заново"
[54]	"Invalid database structure"
[55]	"msg binding effect [%d] cannot find character dummy [%d], character :%s\n"
[56]	"Аскарон"
[57]	"Магический океан"
[58]	"Архипелаг в Великом синем океане"
[59]	"Unknown effect"
[60]	"Unknown shadow"
[61]	"msg You are standing on road cannot be walk, Self [%u, %u], Target[%u, %u], ChaPos[%u, %u]\n"
[62]	"%s"
[63]	"Добавить как друга"
[64]	"Загрузка объекта [%d], %d %d\n"
[65]	"msg sound initializefailed!\n"
[66]	"Сонгти"
[67]	"ЦзинСуньТи"
[68]	"msgscript initializefailed!"
[69]	"msgUI system  initializefailed!"
[70]	"msg loading luascript failed!"
[71]	"GotoScene , target as null"
[72]	"Fail to restore resource while going to next scene "
[73]	"Jump to next scene, failed to initialize scene"
[74]	"All mini-map has been spawn."
[75]	"сохранить экран как %s"
[76]	"Test scene"
[77]	"Аскарон Онлайн"
[78]	"Scene: %s, [%s]"
[79]	"Scene [%s], current scene as null"
[80]	"Testing all effects"
[81]	"Error, Effect cannot be created:%d"
[82]	"Testing character, Check character and character movement..."
[83]	"Error, Не удалось создать персонажа [%d]"
[84]	"Проверка списка причесок..."
[85]	"Error, Hairstyle changed failed: Script ID: %d, Character ID: %d, Model ID: %d"
[86]	"Error, Hairstyle changed failed: Script ID: %d, Character ID: %d, Fail ID type: %d"
[87]	"Testing all tools..."
[88]	"Error, Item [%d/%s], Ground model [%s] does not exist"
[89]	"Error, Item [%d/%s], Character [%d] model [%s] does not exist"
[90]	"Error, item [%d/%s], ICON [%s] does not exist"
[91]	"Error, Item [%d/%s] wielding effect [%d] not available"
[92]	"Error, Item [%d/%s] weapon binding effect [%d] not found"
[93]	"Error, Item [%d/%s] display effect [%d] does not exist"
